Sample_ID,pH,dw,ppmC,ppmN,MBC,MBN,NH4,NO3,pct_POM,pct_MAOM_C,pct_MAOM_N,MAOM_CN,pct_POM_C,pct_POM_N,POM_CN,bulk_pctC,bulk_pctN,bulk_CN,Al-conc,Ca-conc,Fe-conc,K-conc,Mg-conc,Mn-conc,Na-conc,CEC,Pct_base_sat
ECM028,6.86,0.517857143,27.69428511,8.87826964,395.6260105,6.017570089,2.753621498,4.045197072,0.107812099,0.936285952,0.966221454,12.39256282,0.181301418,0.128677167,18.01883103,9.370488552,0.732715321,12.78876991,-2.492903588,8129.79447,-2.696077791,207.1670576,1355.479884,6.61657838,28.24801792,52.40060074,99.95403213
ECM029,6.81,0.575518263,52.097538,9.599792181,447.319942,6.455403712,2.556481505,3.917295935,0.123492726,1.017776646,1.055415257,12.56282319,0.26252159,0.149581119,22.8635911,7.887627629,0.605463916,13.02755018,15.94068733,11024.81597,-2.602858429,170.0203619,1910.738846,5.928600434,-33.88329675,71.37348396,99.72143323
ECM030,6,0.648702595,17.48794949,6.86036156,262.0521673,4.608672095,1.896909939,4.127216361,0.115327067,0.909435173,0.890809931,12.16969962,0.14183214,0.091649127,18.44670571,7.196337676,0.603673809,11.92108955,4.519105939,6906.671328,-1.086913276,160.6674128,1151.579473,5.185486897,-14.17506756,44.4222744,99.84439284
ECM032,6.88,0.544,36.94999706,16.83485969,414.1716567,3.799659565,2.213808564,6.470143153,0.084342561,0.953117386,1.019031239,11.61762165,0.143837756,0.09870654,18.09853864,7.98794327,0.643083868,12.42130544,4.328376827,7114.692929,-2.557006086,50.50665695,1191.552311,7.518214497,9.46071289,45.5550551,99.8342757
ECM033,6.68,0.563436563,31.05407272,12.1832349,381.0970287,4.774651541,2.184705627,6.942365721,0.127875424,0.851665391,0.969293293,12.38697776,0.307075609,0.134740451,32.13118303,9.604857149,0.681301441,14.09784395,7.347537783,7135.070432,1.08687009,143.0448304,1125.772902,5.663345994,18.14785657,45.42258447,99.76190022
ECM035,6.88,0.574,20.00238604,6.638244716,334.9930349,6.993059668,1.941767849,2.470749381,0.244513723,0.9861041,1.065124592,11.82740909,0.180433455,0.139947938,16.47052077,7.203725918,0.563900198,12.77496143,13.1301084,8506.686779,1.143460847,174.1126665,1349.51276,-3.512956058,7.653754456,54.18621598,99.71924115
ECM036,6.68,0.553,51.43600683,14.36634868,526.9027948,5.278513355,2.558564436,12.58034175,0.131103074,0.949606777,1.03250275,12.19026076,0.208775469,0.136428581,20.28302593,9.380704197,0.70773743,13.25479798,13.34872399,11418.65551,4.246726658,181.3964463,1679.407505,-0.537923209,21.45303702,71.53010222,99.76061253
ECM038,6.86,0.553553554,47.57683725,11.74858874,517.4190639,7.037465015,3.318988318,8.091754164,0.183138055,1.003157945,1.088570686,15.34621018,0.348915485,0.192455588,30.20694355,10.86688034,0.652548191,16.65563305,39.79566869,9053.337395,1.541062172,184.7968408,1528.740249,-0.099937309,26.96741158,58.79892837,99.23339548
ECM039,6.65,0.59040959,34.70413679,13.55739122,286.4572264,3.297134094,2.247554705,6.702636254,0.351012165,0.686295327,0.759564695,12.85598346,0.597741609,0.391735413,21.71167894,9.717962947,0.682975763,14.22899144,10.74319506,6588.563048,-0.00088737,102.8070176,1127.102865,7.748264631,26.90263506,42.68098303,99.65404308
ECM040,6.87,0.65060241,24.42095162,9.383781201,269.1639465,4.672586875,2.087258427,7.710870787,0.066910816,0.922046239,0.938455709,12.51617085,0.148766463,0.106460843,17.80121848,7.835877503,0.615113211,12.73916033,39.97154021,9105.98265,3.759394222,96.26786973,1548.250877,2.715974384,17.39351765,58.97787961,99.19543559
ECM041,6.68,0.659090909,14.16851334,7.254327432,230.1407615,5.134220178,1.432228218,6.917245342,0.092583845,0.882750428,0.936376377,11.65461116,0.124002604,0.066086587,23.20034802,6.424614196,0.519681595,12.36259235,25.00519635,7684.135257,0.927251398,187.5366954,1353.858566,2.091126421,20.59975346,50.34635618,99.42275962
ECM042,6.23,0.661338661,32.26135058,10.40751869,358.936969,4.789894982,2.462300474,5.246739113,0.110315605,0.923261308,0.953651368,11.95810476,0.180465824,0.123778387,18.0144383,8.011258505,0.648523109,12.35323942,11.63033422,7801.894859,-2.721939325,159.8851259,1261.098701,4.144440385,21.26495481,49.95666247,99.71094535
ECM043,6.57,0.658,22.71692811,10.6191749,238.1329138,3.553767865,2.262260851,5.877381982,0.075987842,1.100716934,1.106701842,12.55068114,0.165195476,0.09151334,22.77733618,5.880367654,0.465966896,12.61937232,13.38044619,7625.134332,0.949786657,142.4848743,1282.965186,1.552165848,5.380263249,49.15603964,99.67546974
ECM044,6.56,0.553446553,34.98260111,11.34071568,398.5570039,6.012844778,3.026240683,9.406575755,0.119704422,0.839234398,0.89441163,12.75262674,0.20525115,0.150888018,18.49007549,11.72662019,0.862841349,13.59066038,25.62483222,8780.87995,2.445150644,136.1872183,1537.557695,-0.986119739,26.35777035,57.2321659,99.47922547
ECM045,6.28,0.60219342,69.15594813,11.00797947,373.0696345,5.605964393,3.172797506,5.204498296,0.167507196,1.000232678,1.044758323,12.08968857,0.198781831,0.122977954,20.41183635,9.038313518,0.715738764,12.62828658,5.440055194,9831.515404,-0.410250544,138.5826897,1657.234447,3.433485528,20.00273063,63.21332987,99.88454032
ECM046,6.49,0.675222113,16.87620316,4.546785734,295.4561049,9.357929746,1.761346328,2.616588756,0.055329794,0.971627259,1.014020867,11.40695514,0.071154187,0.040483703,20.91585012,6.312982365,0.530314165,11.90428077,-5.884416201,10212.47384,-2.038578616,126.0971774,1690.21555,2.55435032,51.69547362,65.42804385,99.9857874
ECM047,6.26,0.583333333,53.83479894,12.15824709,372.3684592,4.808934506,2.302918075,5.762440075,0.081632653,1.007593006,1.065172336,11.44871388,0.144744203,0.082133437,21.34880155,6.814543041,0.563046402,12.10316243,7.304057294,9526.347606,-1.452894796,156.7951267,1547.529364,2.521342135,51.90487248,60.99047625,99.85179558
ECM048,6.42,0.636726547,16.59090909,9.474106582,330.8401253,5.362826909,1.820002728,7.593909639,0.078135966,0.871382407,0.920517419,11.64944817,0.161089569,0.090776441,21.83885402,6.858638445,0.557340017,12.30601076,25.24361369,7802.839513,3.424469141,63.54001137,1094.283816,1.231833127,30.15670719,48.5401115,99.37462599
ECM049,6.86,0.641641642,25.25885902,8.934713192,255.829163,4.312142146,1.604604717,4.574067012,0.265276994,1.29530501,1.287687479,12.53657333,0.183036628,0.113789844,20.04452755,5.312744517,0.426287389,12.46354868,3.629597732,7491.240609,-2.568184254,167.5055045,1397.579226,8.91847571,-5.153670553,49.38489428,99.85253815
ECM050,6.7,0.677322677,20.17303581,8.710885552,220.5885668,3.960789452,1.692008963,8.028428458,0.063221209,0.981178324,0.999893252,12.27748877,0.097690543,0.061376085,19.91274244,6.61070611,0.528370418,12.5114976,7.399144812,9186.005409,4.441156884,92.07736609,1551.666294,-0.283457449,7.125318925,58.98154916,99.8200676
ECM051,6.67,0.68617558,25.62280814,11.16253419,238.8655556,3.330788532,1.760440397,5.802603097,0.069051636,0.987003142,0.990687142,12.50155717,0.116351365,0.083565795,17.47080503,7.026834133,0.560002435,12.54829805,1.742816715,10263.39824,0.485691286,163.5121398,1564.793926,-0.510564987,5.916142556,64.55935937,99.96594294
ECM052,6.67,0.564435564,42.9690381,17.75668144,330.4159241,3.116460657,2.471578171,11.29801439,0.137133892,0.983880783,1.031823996,11.70159553,0.163465013,0.100786358,19.90083147,7.719566496,0.629055006,12.27170727,-17.81850341,6826.411462,7.142092615,159.9835693,969.0285671,10.04456055,14.63802042,42.58732149,99.82404552
ECM053,6.76,0.639476334,20.86448182,7.627111588,176.7775272,3.473282599,0.995316849,4.21392134,0.082203569,1.091727854,1.124202594,11.70153261,0.075686067,0.048938621,18.63677966,5.95535456,0.494239948,12.04968599,-3.258530641,9782.903833,-2.530579756,138.401216,1795.168564,3.397436726,55.95365753,64.20106788,99.98073512
ECM054,6.69,0.633,23.82609492,7.576120562,443.670074,8.494879678,2.104261483,4.103278352,0.096918947,0.851346558,0.950980542,11.51981469,0.174263883,0.117148832,19.14212698,8.564773988,0.665585652,12.86811601,6.188624945,10299.43333,-0.497604209,195.0052395,1740.362554,0.931055266,6.765802631,66.31835252,99.89113266
ECM055,6.96,0.553446553,27.2314322,8.836012248,169.3523149,3.052875947,0.819579612,3.502191752,0.07905009,1.080621371,1.09717389,12.04055741,0.1072305,0.072543861,18.07040914,6.308626646,0.516057067,12.22468396,-3.762130682,9114.012974,2.320842778,138.8448398,1662.639533,9.795545393,3.81542222,59.58267853,99.91922492
ECM056,6.23,0.616,17.35463029,5.799908634,293.1279775,6.78939936,1.823230966,2.373042029,0.078550482,1.140254826,1.231217011,11.58906512,0.108214921,0.08078271,16.39361685,5.897389932,0.481955829,12.23639789,13.69209153,4788.548409,1.784690125,130.6401584,1131.881143,12.32360157,16.86420598,33.82429962,99.38893195
ECM057,6.8,0.656343656,25.70756927,8.368299061,368.5081706,5.704435883,1.855537378,4.722843556,0.153305539,0.988760903,1.085830473,11.39713881,0.140087564,0.09532036,18.39554812,7.904225204,0.631559798,12.5176386,10.3174548,9800.163952,3.322684233,2571.968626,1683.338461,5.965539054,22.76668446,69.5887657,99.77829227
ECM058,6.66,0.604790419,43.27483475,13.72139791,521.5026375,5.550586858,3.220016105,8.579681433,0.118699653,0.925213561,0.971542278,11.84102557,0.182013286,0.120701914,18.74978649,9.933778761,0.798924673,12.43364531,2.925098721,9022.554887,-2.16576651,114.2474807,1465.699794,1.496312422,42.0232433,57.59883428,99.93407747
ECM059,6.47,0.567,23.96629434,11.32396273,388.6626406,5.456400398,2.183572021,6.776867239,0.136513661,1.068259855,1.111152873,11.43637192,0.145669481,0.103799927,16.69381286,7.887795932,0.663083645,11.89596649,17.63192338,5052.436206,2.483785274,31.56817596,726.9018317,8.864183902,22.99931047,31.61695505,99.23567276
ECM060,6.3,0.639360639,24.17230329,14.27203891,362.54215,3.839530924,2.487705472,11.85744158,0.075963185,0.939849957,0.937681663,11.7814384,0.126244852,0.084559828,17.54573587,7.176988521,0.610594523,11.75420804,41.559322,3789.269279,-2.037449997,161.8773503,954.2397274,16.64936281,15.44040113,27.76556844,98.117461
